id,package_name,period,downloads,window_start,window_end,fetched_at
51,ws,last-month,632265703,2026-02-19,2026-03-20,2026-03-21T22:09:43.713729+00:00
6,@eslint/js,last-month,314720331,2026-02-19,2026-03-20,2026-03-21T22:09:43.713729+00:00
45,express,last-month,299776683,2026-02-19,2026-03-20,2026-03-21T22:09:43.713729+00:00
39,@types/express,last-month,182653073,2026-02-19,2026-03-20,2026-03-21T22:09:43.713729+00:00
46,immer,last-month,124065047,2026-02-19,2026-03-20,2026-03-21T22:09:43.713729+00:00
30,@tanstack/react-query,last-month,91918090,2026-02-19,2026-03-20,2026-03-21T22:09:43.713729+00:00
15,@playwright/test,last-month,88671205,2026-02-19,2026-03-20,2026-03-21T22:09:43.713729+00:00
9,@modelcontextprotocol/sdk,last-month,85029129,2026-02-19,2026-03-20,2026-03-21T22:09:43.713729+00:00
24,@tailwindcss/postcss,last-month,64069083,2026-02-19,2026-03-20,2026-03-21T22:09:43.713729+00:00
36,@types/cors,last-month,63794903,2026-02-19,2026-03-20,2026-03-21T22:09:43.713729+00:00
44,chokidar,last-week,62166502,2026-03-14,2026-03-20,2026-03-21T22:09:43.713729+00:00
12,@octokit/rest,last-month,49437144,2026-02-19,2026-03-20,2026-03-21T22:09:43.713729+00:00
5,@eslint/js,last-week,43586837,2026-03-14,2026-03-20,2026-03-21T22:09:43.713729+00:00
27,@tailwindcss/vite,last-month,40938260,2026-02-19,2026-03-20,2026-03-21T22:09:43.713729+00:00
47,prettier,last-week,36845988,2026-03-14,2026-03-20,2026-03-21T22:09:43.713729+00:00
21,@slack/web-api,last-month,25025625,2026-02-19,2026-03-20,2026-03-21T22:09:43.713729+00:00
38,@types/express,last-week,24085597,2026-03-14,2026-03-20,2026-03-21T22:09:43.713729+00:00
49,typescript,last-day,23062734,2026-03-20,2026-03-20,2026-03-21T22:09:43.713729+00:00
3,@biomejs/biome,last-month,22661370,2026-02-19,2026-03-20,2026-03-21T22:09:43.713729+00:00
33,@types/bun,last-month,20730741,2026-02-19,2026-03-20,2026-03-21T22:09:43.713729+00:00
8,@modelcontextprotocol/sdk,last-week,14236815,2026-03-14,2026-03-20,2026-03-21T22:09:43.713729+00:00
14,@playwright/test,last-week,13905005,2026-03-14,2026-03-20,2026-03-21T22:09:43.713729+00:00
4,@eslint/js,last-day,13225819,2026-03-20,2026-03-20,2026-03-21T22:09:43.713729+00:00
29,@tanstack/react-query,last-week,12139840,2026-03-14,2026-03-20,2026-03-21T22:09:43.713729+00:00
50,vite,last-day,11687300,2026-03-20,2026-03-20,2026-03-21T22:09:43.713729+00:00
23,@tailwindcss/postcss,last-week,10673541,2026-03-14,2026-03-20,2026-03-21T22:09:43.713729+00:00
41,@types/react-dom,last-day,9530103,2026-03-20,2026-03-20,2026-03-21T22:09:43.713729+00:00
35,@types/cors,last-week,8486197,2026-03-14,2026-03-20,2026-03-21T22:09:43.713729+00:00
18,@slack/socket-mode,last-month,8435770,2026-02-19,2026-03-20,2026-03-21T22:09:43.713729+00:00
37,@types/express,last-day,7813497,2026-03-20,2026-03-20,2026-03-21T22:09:43.713729+00:00
11,@octokit/rest,last-week,6380286,2026-03-14,2026-03-20,2026-03-21T22:09:43.713729+00:00
26,@tailwindcss/vite,last-week,6069572,2026-03-14,2026-03-20,2026-03-21T22:09:43.713729+00:00
7,@modelcontextprotocol/sdk,last-day,5578575,2026-03-20,2026-03-20,2026-03-21T22:09:43.713729+00:00
13,@playwright/test,last-day,4322399,2026-03-20,2026-03-20,2026-03-21T22:09:43.713729+00:00
28,@tanstack/react-query,last-day,3772780,2026-03-20,2026-03-20,2026-03-21T22:09:43.713729+00:00
20,@slack/web-api,last-week,3670972,2026-03-14,2026-03-20,2026-03-21T22:09:43.713729+00:00
32,@types/bun,last-week,3139757,2026-03-14,2026-03-20,2026-03-21T22:09:43.713729+00:00
2,@biomejs/biome,last-week,3022324,2026-03-14,2026-03-20,2026-03-21T22:09:43.713729+00:00
22,@tailwindcss/postcss,last-day,2839780,2026-03-20,2026-03-20,2026-03-21T22:09:43.713729+00:00
34,@types/cors,last-day,2801416,2026-03-20,2026-03-20,2026-03-21T22:09:43.713729+00:00
42,@vitest/coverage-v8,last-day,2336313,2026-03-20,2026-03-20,2026-03-21T22:09:43.713729+00:00
10,@octokit/rest,last-day,2164406,2026-03-20,2026-03-20,2026-03-21T22:09:43.713729+00:00
25,@tailwindcss/vite,last-day,1888555,2026-03-20,2026-03-20,2026-03-21T22:09:43.713729+00:00
48,simple-git,last-day,1871181,2026-03-20,2026-03-20,2026-03-21T22:09:43.713729+00:00
40,@types/fs-extra,last-day,1842797,2026-03-20,2026-03-20,2026-03-21T22:09:43.713729+00:00
17,@slack/socket-mode,last-week,1585175,2026-03-14,2026-03-20,2026-03-21T22:09:43.713729+00:00
19,@slack/web-api,last-day,1111882,2026-03-20,2026-03-20,2026-03-21T22:09:43.713729+00:00
1,@biomejs/biome,last-day,1019066,2026-03-20,2026-03-20,2026-03-21T22:09:43.713729+00:00
31,@types/bun,last-day,927650,2026-03-20,2026-03-20,2026-03-21T22:09:43.713729+00:00
16,@slack/socket-mode,last-day,359381,2026-03-20,2026-03-20,2026-03-21T22:09:43.713729+00:00
43,astro,last-day,292216,2026-03-20,2026-03-20,2026-03-21T22:09:43.713729+00:00
